Benchmark,"Base # Copies","Base Run Time","Base Rate","Base Selected","Base Status","Peak # Copies","Peak Run Time","Peak Rate","Peak Selected","Peak Status",Description
500.perlbench_r,1,436.215235,3.649575,1,S,1,344.864405,4.616307,1,S,"refrate(ref) iteration #1"
500.perlbench_r,1,401.449645,3.965628,0,S,1,342.410707,4.649387,0,S,"refrate(ref) iteration #2"
502.gcc_r,1,290.606537,4.872568,1,S,1,245.256351,5.773551,1,S,"refrate(ref) iteration #1"
502.gcc_r,1,281.168047,5.036134,0,S,1,244.948619,5.780804,0,S,"refrate(ref) iteration #2"
505.mcf_r,1,416.848342,3.87671,1,S,1,348.055139,4.642943,1,S,"refrate(ref) iteration #1"
505.mcf_r,1,393.204144,4.109824,0,S,1,339.176783,4.764477,0,S,"refrate(ref) iteration #2"
520.omnetpp_r,1,672.970565,1.949565,1,S,1,582.080049,2.253986,1,S,"refrate(ref) iteration #1"
520.omnetpp_r,1,655.593752,2.001239,0,S,1,578.318942,2.268644,0,S,"refrate(ref) iteration #2"
523.xalancbmk_r,1,274.866188,3.841869,1,S,1,246.522039,4.283593,1,S,"refrate(ref) iteration #1"
523.xalancbmk_r,1,268.92458,3.926752,0,S,1,245.462288,4.302087,0,S,"refrate(ref) iteration #2"
525.x264_r,1,190.717376,9.181125,1,S,1,192.29288,9.105901,1,S,"refrate(ref) iteration #1"
525.x264_r,1,176.169992,9.939264,0,S,1,176.052051,9.945922,0,S,"refrate(ref) iteration #2"
531.deepsjeng_r,1,333.154618,3.439844,1,S,1,306.039455,3.744615,1,S,"refrate(ref) iteration #1"
531.deepsjeng_r,1,311.844714,3.674906,0,S,1,282.111027,4.06223,0,S,"refrate(ref) iteration #2"
541.leela_r,1,452.51674,3.659533,1,S,1,377.677612,4.384692,1,S,"refrate(ref) iteration #1"
541.leela_r,1,438.721959,3.7746,0,S,1,375.569323,4.409306,0,S,"refrate(ref) iteration #2"
548.exchange2_r,1,199.324886,13.14437,1,S,1,213.755881,12.256973,1,S,"refrate(ref) iteration #1"
548.exchange2_r,1,191.24434,13.699752,0,S,1,212.361015,12.337481,0,S,"refrate(ref) iteration #2"
557.xz_r,1,474.693519,2.275152,0,S,1,460.482587,2.345366,0,S,"refrate(ref) iteration #1"
557.xz_r,1,474.879616,2.274261,1,S,1,461.909669,2.338119,1,S,"refrate(ref) iteration #2"
