 Iops/byte, ex.time,   GIOPS, GB/sec
     0.250,   11.74,    2.86,  11.43
     0.750,   11.66,    8.63,  11.51
     1.250,   12.11,   13.86,  11.09
     1.750,   12.12,   19.37,  11.07
     2.250,   11.93,   25.31,  11.25
     2.750,   12.18,   30.30,  11.02
     3.250,   12.01,   36.32,  11.18
     3.750,   12.10,   41.60,  11.09
     4.250,   11.74,   48.59,  11.43
     4.750,   12.13,   52.57,  11.07
     5.250,   11.99,   58.76,  11.19
     5.750,   12.25,   63.00,  10.96
     6.250,   11.94,   70.24,  11.24
     6.750,   11.90,   76.16,  11.28
     7.250,   11.90,   81.76,  11.28
     7.750,   12.16,   85.53,  11.04
     8.250,   11.87,   93.28,  11.31
     8.750,    6.48,  181.16,  20.70
     9.250,    8.27,  150.05,  16.22
    10.250,   11.90,  115.57,  11.28
    11.250,   12.08,  125.02,  11.11
    12.250,   12.29,  133.73,  10.92
    14.250,   12.64,  151.36,  10.62
    16.250,   14.23,  153.32,   9.44
    20.250,   16.34,  166.29,   8.21
    24.250,   19.41,  167.71,   6.92
    28.250,   22.68,  167.16,   5.92
    32.250,   23.09,  187.43,   5.81
    40.250,   28.78,  187.71,   4.66
    48.250,   34.40,  188.24,   3.90
    64.250,   45.79,  188.31,   2.93
    96.250,   68.49,  188.60,   1.96
   128.250,   91.19,  188.76,   1.47
